Games,Country,Gold Ranking,FRA Ranking
Athens 1896,GRE,2,4
Paris 1900,FRA,1,1
St. Louis 1904,USA,1,
London 1908,GBR,1,4
Stockholm 1912,SWE,2,5
Antwerp 1920,BEL,3,8
Paris 1924,FRA,2,2
Amsterdam 1928,NED,3,5
Los Angeles 1932,USA,1,3
Berlin 1936,GER,1,6
London 1948,GBR,12,3
Helsinki 1952,FIN,8,7
Melbourne 1956,AUS,3,11
Rome 1960,ITA,3,25
Tokyo 1964,JAP,3,21
Mexico City 1968,MEX,15,6
Munich 1972,GER,2,17
Montreal 1976,FRA,15,15
Moscow 1980,RUS,1,8
Los Angeles 1984,USA,1,12
Seoul 1988,KOR,4,9
Barcelona 1992,ESP,6,9
Atlanta 1996,USA,1,5
Sydney 2000,AUS,4,6
Athens 2004,GRE,15,7
Beijing 2008,CHN,1,10
London 2012,GBR,3,7
Rio 2016,BRA,13,7
Tokyo 2020,JAP,3,8
Paris 2024,FRA,5,5
