País,Oro_Total,Latitud,Longitud
Alemania,213,51.0,9.0
Alemania Occidental,56,51.0,9.0
Alemania Oriental,153,51.0,9.0
Argelia,7,28.0,3.0
Argentina,22,-34.0,-64.0
Armenia,2,40.0,45.0
Atletas Olímpicos Independientes,1,0.0,0.0
Australasia,3,-27.0,133.0
Australia,181,-27.0,133.0
Austria,22,47.33333333,13.33333333
Azerbaiyán,9,40.5,47.5
Bahamas,5,,
Baréin,5,26.0,50.55
Bielorrusia,13,53.0,28.0
Botsuana,1,-22.0,24.0
Brasil,40,-10.0,-55.0
Bulgaria,57,43.0,25.0
Burundi,1,-3.5,30.0
Bélgica,44,50.83333333,4.0
Camerún,3,6.0,12.0
Canadá,78,60.0,-95.0
Catar,2,25.5,51.25
Checoslovaquia,49,49.75,15.5
Chile,3,-30.0,-71.0
China,302,35.0,105.0
China Taipéi,8,23.5,121.0
Colombia,5,4.0,-72.0
Corea del Norte,16,40.0,127.0
Corea del Sur,109,37.0,127.5
Costa Rica,1,10.0,-84.0
Costa de Marfil,1,8.0,5.0
Croacia,16,45.16666666,15.5
Cuba,86,21.5,-80.0
Dinamarca,50,56.0,10.0
Dominica,1,15.41666666,-61.33333333
Ecuador,4,-2.0,-77.5
Egipto,9,27.0,30.0
Equipo Alemán Unificado,28,51.0,10.0
Equipo Unificado,45,55.0,37.0
Eslovaquia,10,48.66666666,19.5
Eslovenia,10,46.11666666,14.81666666
España,53,40.0,-4.0
Estados Unidos,1103,38.0,-97.0
Estonia,10,59.0,26.0
Etiopía,24,8.0,38.0
Filipinas,3,13.0,122.0
Finlandia,100,64.0,26.0
Fiyi,2,-18.0,175.0
Francia,237,46.0,2.0
Georgia,13,42.0,43.5
Granada,1,12.11666666,-61.66666666
Grecia,36,39.0,22.0
Guatemala,1,15.5,-90.25
Hong Kong,4,22.25,114.16666666
Hungría,187,47.0,20.0
India,10,20.0,77.0
Indonesia,10,-5.0,120.0
Irlanda,15,53.0,-8.0
Irán,24,32.0,53.0
Israel,4,31.5,34.75
Italia,228,42.83333333,12.83333333
Jamaica,29,18.25,-77.5
Japón,190,36.0,138.0
Jordania,1,31.0,36.0
Kazajistán,20,48.0,68.0
Kenia,39,1.0,38.0
Kosovo,3,,
Letonia,4,57.0,25.0
Lituania,6,56.0,24.0
Luxemburgo,1,49.75,6.16666666
Marruecos,8,32.0,-5.0
Mixed NOCs,8,0.0,0.0
Mongolia,2,46.0,105.0
Mozambique,1,-18.25,35.0
México,13,23.0,-102.0
Nigeria,2,10.0,8.0
Noruega,63,62.0,10.0
Nueva Zelanda,62,-41.0,174.0
Pakistán,4,30.0,70.0
Panamá,1,9.0,-80.0
Países Bajos,110,52.5,5.75
Perú,1,-10.0,-76.0
Polonia,72,52.0,20.0
Portugal,6,39.5,-8.0
Puerto RIco,2,18.25,-66.5
Reino Unido,299,54.0,-2.0
República Checa,22,49.75,15.5
República Dominicana,4,19.0,-70.66666666
Rumania,88,46.0,25.0
Rumanía,5,46.0,25.0
Rusia,174,60.0,100.0
Santa Lucía,1,13.88333333,-60.96666666
Serbia,9,44.1305021,16.4284181
Singapur,1,1.36666666,103.8
Sudáfrica,27,-29.0,24.0
Suecia,152,62.0,15.0
Suiza,53,47.0,8.0
Surinam,1,4.0,-56.0
Tailandia,11,15.0,100.0
Tayikistán,1,39.0,71.0
Trinidad y Tobago,2,11.0,-61.0
Turquía,42,39.0,35.0
Túnez,5,34.0,9.0
Ucrania,39,49.0,32.0
Uganda,5,1.0,32.0
Unión Soviética,395,60.0,100.0
Uruguay,2,-33.0,-56.0
Uzbekistán,19,41.0,64.0
Venezuela,4,8.0,-66.0
Vietnam,1,16.16666666,107.83333333
Yugoslavia,28,44.1305021,16.4284181
Zimbabue,3,-20.0,30.0
