Category,Discipline,Performance,Wind,Competitor,DOB,Country,Venue,Date
Women,100 Metres,10.61,-0.6,Elaine THOMPSON-HERAH,28 JUN 1992,Jamaica,"National Stadium, Tokyo (JPN)",31 JUL 2021
Women,200 Metres,21.34,+1.3,Florence GRIFFITH JOYNER,21 DEC 1959,United States,"Olympic Stadium, Seoul (KOR)",29 SEP 1988
Women,400 Metres,48.17,,Marileidy PAULINO,25 OCT 1996,Dominican Republic,"Stade de France, Paris (FRA)",09 AUG 2024
Women,800 Metres,1:53.43,,Nadezhda OLIZARENKO,28 NOV 1953,Soviet Union,"Lenin Stadium, Moskva (URS)",27 JUL 1980
Women,1500 Metres,3:51.29,,Faith KIPYEGON,10 JAN 1994,Kenya,"Stade de France, Paris (FRA)",10 AUG 2024
Women,3000 Metres,8:26.53,,Tatyana SAMOLENKO,12 AUG 1961,Soviet Union,"Olympic Stadium, Seoul (KOR)",25 SEP 1988
Women,5000 Metres,14:26.17,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,Kenya,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016
Women,"10,000 Metres",29:17.45,,Almaz AYANA,21 NOV 1991,Ethiopia,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016
Women,100 Metres Hurdles,12.26,-0.2,Jasmine CAMACHO-QUINN,21 AUG 1996,Puerto Rico,"National Stadium, Tokyo (JPN)",01 AUG 2021
Women,400 Metres Hurdles,50.37,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,United States,"Stade de France, Paris (FRA)",08 AUG 2024
Women,3000 Metres Steeplechase,8:52.76,,Winfred YAVI,31 DEC 1999,Bahrain,"Stade de France, Paris (FRA)",06 AUG 2024
Women,High Jump,2.06,,Yelena SLESARENKO,28 FEB 1982,Russia,"Olympic Stadium, Athina (GRE)",28 AUG 2004
Women,Pole Vault,5.05,,Yelena ISINBAYEVA,03 JUN 1982,Russia,"National Stadium, Beijing (CHN)",18 AUG 2008
Women,Long Jump,7.40,+0.9,Jackie JOYNER-KERSEE,03 MAR 1962,United States,"Olympic Stadium, Seoul (KOR)",29 SEP 1988
Women,Triple Jump,15.67,+0.7,Yulimar ROJAS,21 OCT 1995,Venezuela,"National Stadium, Tokyo (JPN)",01 AUG 2021
Women,Shot Put,22.41,,Ilona SLUPIANEK,24 SEP 1956,East Germany,"Lenin Stadium, Moskva (URS)",24 JUL 1980
Women,Discus Throw,72.30,,Martina HELLMANN,12 DEC 1960,East Germany,"Olympic Stadium, Seoul (KOR)",29 SEP 1988
Women,Hammer Throw,82.29,,Anita WŁODARCZYK,08 AUG 1985,Poland,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016
Women,Javelin Throw,71.53,,Olisdeilys MENÉNDEZ,14 NOV 1979,Cuba,"Olympic Stadium, Athina (GRE)",27 AUG 2004
Women,Marathon,2:22:55,,Sifan HASSAN,01 JAN 1993,Netherlands,"Stade de France, Paris (FRA)",11 AUG 2024
Women,20 Kilometres Race Walk,1:25:16,,Shijie QIEYANG,11 NOV 1990,China,"Olympic Stadium, London (GBR)",11 AUG 2012
Women,Heptathlon,7291,,Jackie JOYNER-KERSEE,03 MAR 1962,United States,"Olympic Stadium, Seoul (KOR)",24 SEP 1988
Women,4x100 Metres Relay,40.82,,United States,N/A,United States,"Olympic Stadium, London (GBR)",10 AUG 2012
Women,4x400 Metres Relay,3:15.17,,Soviet Union,N/A,Soviet Union,"Olympic Stadium, Seoul (KOR)",01 OCT 1988
Men,100 Metres,9.63,+1.5,Usain BOLT,21 AUG 1986,Jamaica,"Olympic Stadium, London (GBR)",05 AUG 2012
Men,200 Metres,19.30,-0.9,Usain BOLT,21 AUG 1986,Jamaica,"National Stadium, Beijing (CHN)",20 AUG 2008
Men,400 Metres,43.03,,Wayde VAN NIEKERK,15 JUL 1992,South Africa,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Men,800 Metres,1:40.91,,David RUDISHA,17 DEC 1988,Kenya,"Olympic Stadium, London (GBR)",09 AUG 2012
Men,1500 Metres,3:27.65,,Cole HOCKER,06 JUN 2001,United States,"Stade de France, Paris (FRA)",06 AUG 2024
Men,5000 Metres,12:57.82,,Kenenisa BEKELE,13 JUN 1982,Ethiopia,"National Stadium, Beijing (CHN)",23 AUG 2008
Men,"10,000 Metres",26:43.14,,Joshua CHEPTEGEI,12 SEP 1996,Uganda,"Stade de France, Paris (FRA)",02 AUG 2024
Men,110 Metres Hurdles,12.91,+0.3,Xiang LIU,13 JUL 1983,China,"Olympic Stadium, Athina (GRE)",27 AUG 2004
Men,400 Metres Hurdles,45.94,,Karsten WARHOLM,28 FEB 1996,Norway,"National Stadium, Tokyo (JPN)",03 AUG 2021
Men,3000 Metres Steeplechase,8:03.28,,Conseslus KIPRUTO,08 DEC 1994,Kenya,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016
Men,High Jump,2.39,,Charles AUSTIN,19 DEC 1967,United States,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
