Año;Evento;Sede
1896;I edición;Atenas
1900;II edición;París
1904;III edición;San Luis
1908;IV edición;Londres
1912;V edición;Estocolmo
1916;VI edición;Berlín
Suspendidos por la Primera Guerra Mundial;;
1920;VII edición;Amberes
1924;VIII edición;París
1928;IX edición;Ámsterdam
1932;X edición;Los Ángeles
1936;XI edición;Berlín
1940;XII edición;Helsinki
Suspendidos por la Segunda Guerra Mundial;;
1944;XIII edición;Londres
Suspendidos por la Segunda Guerra Mundial;;
1948;XIV edición;Londres
1952;XV edición;Helsinki
1956;XVI edición;Melbourne
1960;XVII edición;Roma
1964;XVIII edición;Tokio
1968;XIX edición;Ciudad de México
1972;XX edición;Múnich
1976;XXI edición;Montreal
1980;XXII edición;Moscú
1984;XXIII edición;Los Ángeles
1988;XXIV edición;Seúl
1992;XXV edición;Barcelona
1996;XXVI edición;Atlanta
2000;XXVII edición;Sídney
2004;XXVIII edición;Atenas
2008;XXIX edición;Pekín
2012;XXX edición;Londres
2016;XXXI edición;Río de Janeiro
2020;XXXII edición;Tokio
2024;XXXIII edición;París
2028;XXXIV edición;Los Ángeles
2032;XXXV edición;Brisbane
2036;XXXVI edición;
