NOC,Total_Atletas,Total_Medallas,Medallas_Oro,Eficiencia_Total,Eficiencia_Oro
URS,2948,1197,471,0.406,0.1598
GDR,1360,519,192,0.3816,0.1412
KOS,8,1,1,0.125,0.125
USA,9653,2823,1131,0.2924,0.1172
ETH,232,53,22,0.2284,0.0948
CHN,2664,595,239,0.2233,0.0897
EUN,604,135,54,0.2235,0.0894
RUS,2428,584,202,0.2405,0.0832
NOR,2216,474,167,0.2139,0.0754
GER,4872,1004,319,0.2061,0.0655
HUN,2761,510,178,0.1847,0.0645
FIN,2347,471,146,0.2007,0.0622
KEN,515,100,31,0.1942,0.0602
CUB,1283,214,77,0.1668,0.06
JAM,370,76,22,0.2054,0.0595
ANZ,53,12,3,0.2264,0.0566
SWE,3787,657,200,0.1735,0.0528
ITA,4935,722,256,0.1463,0.0519
TUR,808,95,40,0.1176,0.0495
ROU,1798,304,88,0.1691,0.0489
KOR,2393,316,116,0.1321,0.0485
GEO,167,32,8,0.1916,0.0479
GBR,6281,919,289,0.1463,0.046
FRA,6170,879,264,0.1425,0.0428
NED,2939,407,125,0.1385,0.0425
AUS,3820,519,153,0.1359,0.0401
BDI,25,2,1,0.08,0.04
PRK,405,56,16,0.1383,0.0395
FRG,1708,243,67,0.1423,0.0392
SUI,2883,346,108,0.12,0.0375
JPN,4067,482,152,0.1185,0.0374
BAH,162,14,6,0.0864,0.037
EST,354,41,13,0.1158,0.0367
AUT,2337,326,85,0.1395,0.0364
AZE,193,44,7,0.228,0.0363
NZL,1326,119,47,0.0897,0.0354
CRO,428,44,15,0.1028,0.035
BUL,1502,223,52,0.1485,0.0346
IRI,526,68,18,0.1293,0.0342
UZB,295,34,10,0.1153,0.0339
UKR,1134,133,37,0.1173,0.0326
SUR,33,2,1,0.0606,0.0303
CZE,734,78,22,0.1063,0.03
KAZ,694,77,20,0.111,0.0288
CAN,4811,475,126,0.0987,0.0262
RSA,963,88,25,0.0914,0.026
INA,275,30,7,0.1091,0.0255
DEN,1923,211,49,0.1097,0.0255
POL,2970,310,75,0.1044,0.0253
BLR,763,99,19,0.1298,0.0249
GRE,1709,151,42,0.0884,0.0246
TCH,2093,171,51,0.0817,0.0244
SVK,457,33,11,0.0722,0.0241
GRN,44,2,1,0.0455,0.0227
TJK,45,4,1,0.0889,0.0222
BEL,2078,171,45,0.0823,0.0217
YUG,1270,87,26,0.0685,0.0205
THA,462,30,9,0.0649,0.0195
MOZ,52,2,1,0.0385,0.0192
LTU,320,25,6,0.0781,0.0188
TTO,167,19,3,0.1138,0.018
ESP,2637,150,45,0.0569,0.0171
SLO,420,38,7,0.0905,0.0167
JOR,61,1,1,0.0164,0.0164
ZIM,196,8,3,0.0408,0.0153
LIE,131,9,2,0.0687,0.0153
BRA,2053,128,30,0.0623,0.0146
DOM,208,7,3,0.0337,0.0144
ARM,146,16,2,0.1096,0.0137
ALG,373,17,5,0.0456,0.0134
IOA,76,5,1,0.0658,0.0132
