País;Edición;Medallas de Oro
Estados Unidos;Atenas 1896;11
Grecia;Atenas 1896;10
Alemania;Atenas 1896;6
Francia;Atenas 1896;5
Reino Unido;Atenas 1896;2
Hungría;Atenas 1896;2
Austria;Atenas 1896;2
Australia;Atenas 1896;2
Dinamarca;Atenas 1896;1
Suiza;Atenas 1896;1
Mixed NOCs;Atenas 1896;1
Francia;Paris 1900;26
Estados Unidos;Paris 1900;19
Reino Unido;Paris 1900;15
Mixed NOCs;Paris 1900;6
Suiza;Paris 1900;6
Bélgica;Paris 1900;5
Alemania;Paris 1900;4
Italia;Paris 1900;2
Australia;Paris 1900;2
Dinamarca;Paris 1900;1
Hungría;Paris 1900;1
Cuba;Paris 1900;1
Canadá;Paris 1900;1
España;Paris 1900;1
Estados Unidos;San Luis 1904;73
Alemania;San Luis 1904;4
Canadá;San Luis 1904;4
Cuba;San Luis 1904;3
Hungría;San Luis 1904;2
Reino Unido;San Luis 1904;1
Mixed NOCs;San Luis 1904;1
Grecia;San Luis 1904;1
Suiza;San Luis 1904;1
Reino Unido;Londres 1908;56
Estados Unidos;Londres 1908;23
Suecia;Londres 1908;8
Francia;Londres 1908;5
Alemania;Londres 1908;3
Hungría;Londres 1908;3
Canadá;Londres 1908;3
Noruega;Londres 1908;2
Italia;Londres 1908;2
Bélgica;Londres 1908;1
Australasia;Londres 1908;1
Rusia;Londres 1908;1
Finlandia;Londres 1908;1
Sudáfrica;Londres 1908;1
Estados Unidos;Estocolmo 1912;25
Suecia;Estocolmo 1912;24
Reino Unido;Estocolmo 1912;10
Finlandia;Estocolmo 1912;9
Francia;Estocolmo 1912;7
Alemania;Estocolmo 1912;5
Sudáfrica;Estocolmo 1912;4
Noruega;Estocolmo 1912;4
Canadá;Estocolmo 1912;3
Hungría;Estocolmo 1912;3
Italia;Estocolmo 1912;3
Australasia;Estocolmo 1912;2
Bélgica;Estocolmo 1912;2
Dinamarca;Estocolmo 1912;1
Grecia;Estocolmo 1912;1
Estados Unidos;Amberes 1920;48
Suecia;Amberes 1920;19
Reino Unido;Amberes 1920;15
Finlandia;Amberes 1920;15
Bélgica;Amberes 1920;14
Noruega;Amberes 1920;13
Italia;Amberes 1920;13
Francia;Amberes 1920;9
Países Bajos;Amberes 1920;4
Dinamarca;Amberes 1920;3
Sudáfrica;Amberes 1920;3
Canadá;Amberes 1920;3
Suiza;Amberes 1920;2
Estonia;Amberes 1920;1
Brasil;Amberes 1920;1
Estados Unidos;París 1924;45
Finlandia;París 1924;14
Francia;París 1924;13
Reino Unido;París 1924;9
Italia;París 1924;8
Suiza;París 1924;7
Noruega;París 1924;5
Suecia;París 1924;4
Países Bajos;París 1924;4
Bélgica;París 1924;3
Australia;París 1924;3
Dinamarca;París 1924;2
Hungría;París 1924;2
Yugoslavia;París 1924;2
Checoslovaquia;París 1924;1
Argentina;París 1924;1
Estonia;París 1924;1
Sudáfrica;París 1924;1
Uruguay;París 1924;1
Estados Unidos;Ámsterdam 1928;22
Alemania;Ámsterdam 1928;10
Finlandia;Ámsterdam 1928;8
Suecia;Ámsterdam 1928;7
Italia;Ámsterdam 1928;7
Suiza;Ámsterdam 1928;7
Francia;Ámsterdam 1928;6
Países Bajos;Ámsterdam 1928;6
Hungría;Ámsterdam 1928;4
Canadá;Ámsterdam 1928;4
Reino Unido;Ámsterdam 1928;3
Argentina;Ámsterdam 1928;3
Dinamarca;Ámsterdam 1928;3
Checoslovaquia;Ámsterdam 1928;2
Japón;Ámsterdam 1928;2
Estonia;Ámsterdam 1928;2
Egipto;Ámsterdam 1928;2
Austria;Ámsterdam 1928;2
Australia;Ámsterdam 1928;1
Noruega;Ámsterdam 1928;1
